設備ID,発電事業者名,代表者名,事業者の住所,事業者の電話番号,発電設備区分,発電出力（kW）,発電設備の所在地,,太陽電池の合計出力（kW）,新規認定日,運転開始報告年月,事業用太陽光地域活用要件の該当の有無,,廃棄費用の積立方法,廃棄費用の積立状況,調達期間終了年月
1C60920H46,アジアバンクホールディングス株式会社,井上　浩士,東京都港区虎ノ門１－２３－１虎ノ門ヒルズ森タワー１８階,03-3500-3666,バイオマス,49,鹿児島県志布志市有明町伊﨑田字奈良ヶ原８７８３－１５,0,-,2024年2月27日,-,-,-,-,運転開始前,-
1C60921H46,アジアバンクホールディングス株式会社,井上　浩士,東京都港区虎ノ門１－２３ー１虎ノ門ヒルズ森タワー１８Ｆ,03-3500-3666,バイオマス,49,鹿児島県志布志市有明町伊﨑田字三方境３８８７－２,0,-,2024年2月27日,-,-,-,-,運転開始前,-
1C60922H46,アジアバンクホールディングス株式会社,井上　浩士,東京都港区虎ノ門１－２３－１虎ノ門ヒルズ森タワー１８Ｆ,03-3500-3666,バイオマス,49,鹿児島県志布志市有明町伊﨑田字三方境３８８７－４,0,-,2024年2月27日,-,-,-,-,運転開始前,-
1C60923H46,アジアバンクホールディングス株式会社,井上　浩士,東京都港区虎ノ門１－２３－１虎ノ門ヒルズ森タワー１８Ｆ,03-3500-3666,バイオマス,49,鹿児島県志布志市有明町伊﨑田字三方境３９７４－１,0,-,2024年2月27日,-,-,-,-,運転開始前,-
1C60924H46,アジアバンクホールディングス株式会社,井上　浩士,東京都港区虎ノ門１－２３－１虎ノ門ヒルズ森タワー１８Ｆ,03-3500-3666,バイオマス,49,鹿児島県志布志市有明町伊﨑田字三方境３９７４－４,0,-,2024年2月27日,-,-,-,-,運転開始前,-
1C60925H46,アジアバンクホールディングス株式会社,井上　浩士,東京都港区虎ノ門１－２３－１虎ノ門ヒルズ森タワー１８Ｆ,03-3500-3666,バイオマス,49,鹿児島県志布志市有明町伊﨑田字三方境３９７４－９,0,-,2024年2月27日,-,-,-,-,運転開始前,-
1C61185H46,株式会社エネルグループ,小坂　洋一,東京都港区虎ノ門４－３－１城山トラストタワー２７階,,バイオマス,49,鹿児島県志布志市有明町伊﨑田字山涯８２１１－３,0,-,2024年3月18日,-,-,-,-,運転開始前,-
1C61186H46,株式会社エネルグループ,小坂　洋一,東京都港区虎ノ門４－３－１城山トラストタワー２７階,,バイオマス,49,鹿児島県曽於郡大崎町井俣字中沖２２１７－２,0,-,2024年3月18日,-,-,-,-,運転開始前,-
1C61187H46,アジアバンクホールディングス株式会社,井上　浩士,東京都港区虎ノ門１－２３－１虎ノ門ヒルズ森タワー１８Ｆ,03-3500-3666,バイオマス,49,鹿児島県志布志市有明町伊﨑田字本村８２１９,0,-,2024年3月18日,-,-,-,-,運転開始前,-
1C61188H46,アジアバンクホールディングス株式会社,井上　浩士,東京都港区虎ノ門１－２３－１虎ノ門ヒルズ森タワー１８Ｆ,03-3500-3666,バイオマス,49,鹿児島県志布志市有明町山重字川添１２０２０－１８,0,-,2024年3月18日,-,-,-,-,運転開始前,-
1C61189H46,アジアバンクホールディングス株式会社,井上　浩士,東京都港区虎ノ門１－２３－１虎ノ門ヒルズ森タワー１８Ｆ,03-3500-3666,バイオマス,49,鹿児島県志布志市有明町山重字川添１２０２０－１９,0,-,2024年3月18日,-,-,-,-,運転開始前,-
1C61190H46,アジアバンクホールディングス株式会社,井上　浩士,東京都港区虎ノ門１－２３－１虎ノ門ヒルズ森タワー１８Ｆ,03-3500-3666,バイオマス,49,鹿児島県志布志市有明町伊﨑田字萩ノ迫５５５８－１,0,-,2024年3月18日,-,-,-,-,運転開始前,-
1C61202H46,株式会社ＤＦＣ,有馬達郎,鹿児島県鹿児島市易居町９ー２２ー１２０１,099-295-3632,バイオマス,1990,鹿児島県鹿児島市下福元町字金見山１９８７－１,0,-,2024年3月29日,-,-,-,-,運転開始前,-
1Z98114H46,株式会社ＬＡアセット,脇田　栄一,東京都港区海岸１－９－１８,03-5405-7350,バイオマス,49,鹿児島県志布志市有明町野神字水道２７３１－７,0,-,2021年3月25日,-,-,-,-,運転開始前,-
1Z98115H46,アジアバンクホールディングス株式会社,井上　浩士,東京都港区虎ノ門１－２３－１虎ノ門ヒルズ森タワー１８階,03-3500-3666,バイオマス,49,鹿児島県曽於郡大崎町菱田字上正坂３４５２－５,0,-,2021年3月25日,-,-,-,-,運転開始前,-
1Z98116H46,株式会社ＰＭＳ,西條　吉輝,千葉県船橋市西船３－３－２１　アンビックス・プリア４１０,03-3581-8880,バイオマス,49,鹿児島県志布志市有明町伊﨑田字丸岡６０７６－３,0,-,2021年3月25日,2024年3月,-,-,-,-,2044年1月
1Z98117H46,株式会社ＰＭＳ,西條　吉輝,千葉県船橋市西船３－３－２１アンビックス・プリア４１０,03-3500-3666,バイオマス,49,鹿児島県志布志市有明町伊﨑田字奈良ヶ原８８０８－４,0,-,2021年3月25日,2024年7月,-,-,-,-,2044年5月
1Z98118H46,株式会社ＰＭＳ,西條　吉輝,千葉県船橋市西船３－３－２１アンビックス・プリア４１０,03-3500-3666,バイオマス,49,鹿児島県志布志市有明町野井倉字稲付３８９５－９,0,-,2021年3月25日,2024年8月,-,-,-,-,2044年7月
1Z98119H46,株式会社クラウドコントロール,津中　良太,大阪府大阪市北区天神橋７－３－２,06-6232-8422,バイオマス,49,鹿児島県曽於郡大崎町菱田字上正坂３４５２－６,1,-,2021年3月25日,-,-,-,-,運転開始前,-
1Z98120H46,株式会社ＯＴＮ,西條　吉輝,東京都港区新橋４－５－１アーバン新橋ビル８階,03-3500-3666,バイオマス,49,鹿児島県曽於郡大崎町永吉字原ノ園１３０４－１,0,-,2021年3月25日,-,-,-,-,運転開始前,-
1Z98121H46,株式会社ＰＭＳ,西條　吉輝,千葉県船橋市西船３－３－２１アンビックス・プリア４１０,03-3581-8880,バイオマス,49,鹿児島県曽於郡大崎町假宿字胡摩２５１９－２,0,-,2021年3月25日,2024年9月,-,-,-,-,2044年8月
1Z98122H46,株式会社ＯＴＮ,西條　吉輝,東京都港区新橋４－５－１アーバン新橋ビル８階,03-3500-3666,バイオマス,49,鹿児島県曽於郡大崎町永吉字宮ヶ迫谷１１５１－１,0,-,2021年3月25日,-,-,-,-,運転開始前,-
1Z98123H46,株式会社ＰＭＳ,西條吉輝,千葉県船橋市西船３－３－２１アンビックス・プリア４１０,03-3500-3666,バイオマス,49,鹿児島県曽於郡大崎町井俣字中沖２２２９－２,0,-,2021年3月25日,2024年10月,-,-,-,-,2044年9月
1Z98124H46,株式会社ＯＴＮ,西條　吉輝,東京都港区新橋４－５－１アーバン新橋ビル８階,03-3500-3666,バイオマス,49,鹿児島県曽於郡大崎町永吉字宮ヶ迫谷１１４３－１,0,-,2021年3月25日,-,-,-,-,運転開始前,-
1Z98125H46,株式会社クラウドコントロール,津中　良太,大阪府大阪市北区天神橋７－３－２,06-6232-8422,バイオマス,49,鹿児島県曽於郡大崎町假宿字原２６２３－１,0,-,2021年3月25日,-,-,-,-,運転開始前,-
1Z98126H46,株式会社ＯＴＮ,西條　吉輝,東京都港区新橋４－５－１アーバン新橋ビル８階,03-3500-3666,バイオマス,49,鹿児島県曽於郡大崎町永吉字原ノ園１３０９－１,0,-,2021年3月25日,-,-,-,-,運転開始前,-
1Z98127H46,株式会社ＰＭＳ,西條吉輝,千葉県船橋市西船３－３－２１アンビックス・プリア４１０,03-3500-3666,バイオマス,49,鹿児島県志布志市有明町野神字廣迫２９９０－１,0,-,2021年3月25日,2024年8月,-,-,-,-,2044年7月
1Z98128H46,株式会社ＰＭＳ,西條　吉輝,千葉県船橋市西船３－３－２１アンビックス・プリア４１０,03-3581-8880,バイオマス,49,鹿児島県曽於郡大崎町井俣字中沖２２１７－７,0,-,2021年3月25日,-,-,-,-,運転開始前,-
1Z98129H46,株式会社ＰＭＳ,西條　吉輝,千葉県船橋市西船３－３－２１アンビックス・プリア４１０,03-3500-3666,バイオマス,49,鹿児島県志布志市有明町野井倉字鎌迫５７８９－１,0,-,2021年3月25日,2024年4月,-,-,-,-,2044年2月
1Z98130H46,株式会社ＰＭＳ,西條　吉輝,千葉県船橋市西船３－３－２１アンビックス・プリア４１０,03-3500-3666,バイオマス,49,鹿児島県曽於郡大崎町永吉字天神１３８－１,0,-,2021年3月25日,2024年12月,-,-,-,-,2044年11月
1Z98131H46,株式会社ＰＭＳ,西條　吉輝,千葉県船橋市西船３－３－２１アンビックス・プリア４１０,03-3581-8880,バイオマス,49,鹿児島県曽於郡大崎町永吉字牧山１４４９－１,0,-,2021年3月25日,2024年12月,-,-,-,-,2044年11月
1Z98132H46,株式会社ＰＭＳ,西條　吉輝,千葉県船橋市西船３－３－２１アンビックス・プリア４１０,03-3581-8880,バイオマス,49,鹿児島県曽於郡大崎町假宿字外堀２７６３－４,0,-,2021年3月25日,2024年8月,-,-,-,-,2044年7月
1Z98133H46,株式会社ＯＴＮ,西條　吉輝,東京都港区新橋４－５－１アーバン新橋ビル８階,03-3500-3666,バイオマス,49,鹿児島県曽於郡大崎町岡別府字下堀４１８－６,0,-,2021年3月25日,2025年3月,-,-,-,-,2045年1月
1Z98134H46,株式会社ＰＭＳ,西條　吉輝,千葉県船橋市西船３－３－２１アンビックス・プリア４１０,03-3581-8880,バイオマス,49,鹿児島県曽於郡大崎町岡別府字沖ノ迫４３７,0,-,2021年3月25日,-,-,-,-,運転開始前,-
1Z98135H46,株式会社ＰＭＳ,西條　吉輝,千葉県船橋市西船３－３－２１アンビックス・プリア４１０,03-3500-3666,バイオマス,49,鹿児島県曽於郡大崎町永吉字天神１３９,0,-,2021年3月25日,2024年9月,-,-,-,-,2044年7月
1Z98136H46,株式会社ＰＭＳ,西條　吉輝,千葉県船橋市西船３－３－２１アンビックス・プリア４１０,03-3500-3666,バイオマス,49,鹿児島県曽於郡大崎町井俣字高井田２６９８,0,-,2021年3月25日,2024年10月,-,-,-,-,2044年9月
1Z98137H46,株式会社ＰＭＳ,西條　吉輝,千葉県船橋市西船３－３－２１アンビックス・プリア４１０,03-3500-3666,バイオマス,49,鹿児島県志布志市有明町野神字伏牧３０７０,0,-,2021年3月25日,2024年9月,-,-,-,-,2044年8月
1Z98150H46,ＦＫエネルギー株式会社,平野　かほる,神奈川県川崎市麻生区片平５－２２－１１－２０１,044-981-6360,バイオマス,1990,鹿児島県大島郡龍郷町戸口字音ノ水３４２１,3,-,2021年9月2日,-,-,-,-,運転開始前,-
6C55699H46,西蓮寺,佐藤　弘文,鹿児島県枕崎市まかや町３,,太陽光,49.5,鹿児島県枕崎市まかや町２０１,0,66.4,2024年1月9日,2024年5月,有,有,外部積立て,-,2044年4月
6C57280H46,株式会社ダスキン,大久保　裕行,大阪府吹田市豊津町１－３３,06-6821-5037,太陽光,27.9,鹿児島県鹿児島市東開町４－１１５,0,30.7,2024年1月22日,-,有,有,外部積立て,-,-
A639001F34,古城　光雄,,,,太陽光,44,鹿児島県伊佐市菱刈前目５３２９－１,0,44,2013年3月4日,2013年11月,-,-,外部積立て,-,2033年8月
A657052H46,合同会社さつま自然エネルギー,株式会社良知経営　職務執行者　濵田　総一郎,鹿児島県いちき串木野市西薩町１７番地７,0996-33-1510,太陽光,93.8,鹿児島県いちき串木野市西薩町１７－８,0,94.8,2012年6月21日,2013年11月,-,-,外部積立て,-,2032年7月
A657056H46,大和電機株式会社,岩﨑　健太,鹿児島県霧島市国分下井２２９７番地１０,,太陽光,1000,鹿児島県日置市伊集院町大田字下中尾４５５－１,0,1002,2012年6月25日,2013年11月,-,-,外部積立て,-,2032年7月
A657059H46,脇田電設株式会社,平田　幸一,鹿児島市田上町３９２４番地１０,099-275-3200,太陽光,49,鹿児島県鹿児島市田上町３９２４－１０,0,49,2012年6月25日,2013年11月,-,-,外部積立て,-,2032年9月
A678799H46,株式会社　明興テクノス,山ノ内　文治,鹿児島市小松原１－１０－８,099-269-2711,太陽光,30,鹿児島県日置市伊集院町清藤２１１０－８,0,30.6,2012年7月2日,2013年11月,-,-,外部積立て,-,2032年8月
A678801H46,上村　達三,,,,太陽光,22,鹿児島県南さつま市加世田宮原字口畑２７６２－１,0,23,2012年7月3日,2013年11月,-,-,外部積立て,-,2032年7月
A678804H46,鹿児島メガソーラー発電株式会社,窪田　明仁,鹿児島県鹿児島市鴨池新町１‐１,075-604-3487,太陽光,70000,鹿児島県鹿児島市七ツ島２,0,71622.3,2012年7月6日,2013年11月,-,-,内部積立て,-,2033年10月
A679028H41,株式会社　庄,峰松　洋子,鹿島市浜町甲１５３３－２,0954-62-3938,太陽光,23.1,鹿児島県鹿児島市浜町字相源寺甲１５８４－１,0,23.1,2012年7月6日,2013年11月,-,-,外部積立て,-,2032年7月
A680002H46,株式会社　Ｅｍｏｔｉｏｎ,藤田　善久,鹿児島市樋之口町５番２９号,099-219-7735,太陽光,41.9,鹿児島県鹿児島市冷水町１７３－２,0,42.4,2012年7月11日,2013年11月,-,-,外部積立て,-,2032年8月
A690357H46,清山　三郎,,,,太陽光,49.7,鹿児島県鹿屋市串良町下小原２７８１－３,0,49.7,2012年7月18日,2013年11月,-,-,外部積立て,-,2032年9月
A691811H46,財部　更生,,,,太陽光,46.5,鹿児島県肝属郡肝付町宮下１６８－１,0,46.5,2012年7月20日,2013年11月,-,-,外部積立て,-,2032年12月
A692510H46,株式会社フィールドパワー,前村　康成,都城市蓑原町２２９６－７,0986-23-1120,太陽光,1000,鹿児島県曽於市財部町下財部４１２８－４,0,1000,2012年7月26日,2013年11月,-,-,外部積立て,-,2033年2月
A692519H46,樋脇　寅巳,,,,太陽光,44,鹿児島県鹿屋市東原５９７９－１,1,49.2,2012年7月23日,2013年11月,-,-,外部積立て,-,2032年9月
A692549H46,株式会社　リミコーポレーション,前原　くるみ,日置市東市来町湯田３６１４番地,099-274-1861,太陽光,27.5,鹿児島県日置市東市来町長里２２６５－６,0,27.5,2012年7月24日,2013年11月,-,-,外部積立て,-,2032年9月
A692550H46,株式会社　リミコーポレーション,前原　くるみ,日置市東市来町湯田３６１４番地,099-274-1861,太陽光,26.6,鹿児島県鹿児島市星ケ峯１－１７－２,0,28,2012年7月24日,2013年11月,-,-,外部積立て,-,2032年10月
A692570H46,ＳＳＪメガソーラー１合同会社,一般社団法人ＳＳＪメガソーラー６　職務執行者　池田　卓也,東京都新宿区四谷２－９－１５　東京ユナイテッド綜合事務所内,,太陽光,1840,鹿児島県南さつま市加世田高橋字岩崎針本３４２７－１,96,2162.8,2012年7月24日,2013年11月,-,-,外部積立て,-,2033年7月
A692571H46,ＳＳＪメガソーラー４合同会社,一般社団法人ＳＳＪメガソーラー２　職務執行者　松本　光博,東京都千代田区神田三崎町２－４－１ＴＵＧ－Ｉビル９Ｆ,,太陽光,1250,鹿児島県鹿屋市串良町細山田字外堀５９６３,9,1314.4,2012年7月24日,2015年4月,-,-,外部積立て,-,2035年3月
A692573H46,ＳＳＪメガソーラー２０合同会社,一般社団法人ＳＳＪメガソーラー２　職務執行者　松本　光博,東京都千代田区神田三崎町２－４－１ＴＵＧ－Ｉビル９Ｆ,,太陽光,750,鹿児島県南さつま市加世田武田字矢ヶ宇都迫１２０６４,10,817.8,2012年7月24日,2015年4月,-,-,外部積立て,-,2035年3月
A693049H46,高田　徳法,,,,太陽光,21.6,鹿児島県薩摩川内市東郷町斧渕４１７－５,0,21.8,2012年7月26日,2013年11月,-,-,外部積立て,-,2032年8月
A693607H46,株式会社タケシタ,竹下　信一,伊佐市大口小木原８９９,0995-22-0425,太陽光,32.1,鹿児島県伊佐市大口小木原８９９,0,32.1,2012年7月25日,2013年11月,-,-,外部積立て,-,2032年8月
A693631H46,溝口　和成,,,,太陽光,34.9,鹿児島県曽於市末吉町南之郷３２４－４,0,34.9,2012年7月26日,2013年11月,-,-,外部積立て,-,2032年9月
A693636H46,加治木産業株式会社,真辺　ひとみ,姶良市加治木町西別府２４２７,0995-62-3456,太陽光,49.2,鹿児島県姶良市加治木町西別府２４２７,0,65.4,2012年7月25日,2013年11月,-,-,外部積立て,-,2032年10月
A694135H46,アーチ太陽光平佐発電所,橋口裕一郎,薩摩川内市平佐町３４９５,0996-20-2202,太陽光,28.8,鹿児島県薩摩川内市平佐町３４９５,0,28.8,2012年8月6日,2013年11月,-,-,外部積立て,-,2032年12月
A694729H46,株式会社南九州デジタル,櫻木　伸一,鹿児島市中山町６番地２,099-284-5880,太陽光,21.7,鹿児島県鹿児島市中山町６－２,0,21.9,2012年8月3日,2013年11月,-,-,外部積立て,-,2032年9月
A699523H46,梶原　弘徳,,,,太陽光,20,鹿児島県熊毛郡南種子町中之上２４２７,0,20.7,2012年8月8日,2013年11月,-,-,外部積立て,-,2032年9月
A699548H46,九州エナジー株式会社,田島　浩彦,鹿児島県鹿児島市鴨池新町６－６,099-297-6425,太陽光,1000,鹿児島県薩摩川内市寄田町字大十郎１２４－１,5,1104.4,2012年8月8日,2013年11月,-,-,外部積立て,-,2032年9月
A699571H46,ミタルダ株式会社,代表取締役　三田　治雄,鹿児島県鹿児島市与次郎１－２－１５,099-257-5063,太陽光,991.9,鹿児島県薩摩川内市隈之城町字平尾賀２１６－８,0,1128.9,2012年8月9日,2013年11月,-,-,外部積立て,-,2033年3月
A700213H46,株式会社富士建設,村中　義秀,伊佐市大口小木原９５４－３,0995-22-0668,太陽光,150,鹿児島県伊佐市大口小木原１３４５－１,0,173.7,2012年8月13日,2013年11月,-,-,外部積立て,-,2032年11月
A700218H46,有限会社サンパワー,福重　安治,薩摩川内市青山町５９５５番地,0996-20-4789,太陽光,48.5,鹿児島県薩摩川内市青山町４０８９－１,0,48.5,2012年8月16日,2013年11月,-,-,外部積立て,-,2032年12月
A700900H46,出水ソーラー事業株式会社,古城　久照,鹿児島県出水市高尾野町大久保３４５１－３,,太陽光,997.6,鹿児島県出水市高尾野町下水流字浜松１９３５,0,997.6,2012年8月20日,2013年11月,-,-,外部積立て,-,2032年10月
A700925H46,井手　哲之,,,,太陽光,27.9,鹿児島県指宿市湯の浜西方２１５１－８,0,27.9,2012年8月21日,2013年11月,-,-,外部積立て,-,2033年1月
A700926H46,岩下　敏昭,,,,太陽光,20,鹿児島県鹿屋市串良町上小原４６４５－１,0,20.1,2012年8月21日,2013年11月,-,-,外部積立て,-,2032年11月
A700928H46,Ｓｋｙ　Ｓｏｌａｒ　Ｎｉｐｐｏｎ７株式会社,安藤　まこと,東京都千代田区神田三崎町２－４－１　ＴＵＧ－Ｉビル９Ｆ,,太陽光,1750,鹿児島県南九州市頴娃町上別府３８２０－２３,1,1938.1,2012年8月21日,2014年5月,-,-,外部積立て,-,2034年4月
A701498H46,有限会社　ラーバンデザインズ,小川　領一,霧島市国分清水３丁目１２番１４号,,太陽光,22.1,鹿児島県霧島市国分清水３－１２－１４,0,22.1,2012年8月21日,2013年11月,-,-,外部積立て,-,2032年10月
A702072H46,九州エナジー株式会社,田島　浩彦,鹿児島県鹿児島市鴨池新町６ー６,099-297-6425,太陽光,1250,鹿児島県日置市伊集院町大田長谷９６４,0,1565.7,2012年8月23日,2013年11月,-,-,外部積立て,-,2033年2月
A702083H46,内田　武男,,,,太陽光,37.2,鹿児島県日置市日吉町日置３６０,0,37.2,2012年8月23日,2013年11月,-,-,外部積立て,-,2033年4月
A702145H46,有限会社　開成建設,西元　達也,指宿市開聞仙田２２６２－２,0993-32-5091,太陽光,23,鹿児島県指宿市開聞仙田２２６０－２,0,23,2012年8月28日,2013年11月,-,-,外部積立て,-,2032年11月
A703352H46,錦江建設株式会社,八反田　友則,鹿児島県鹿児島市谷山中央８－２０－１１,099-267-2174,太陽光,49.6,鹿児島県薩摩郡さつま町神子下湯田原６７９－４,0,49.6,2012年9月3日,2013年11月,-,-,外部積立て,-,2032年12月
A703356H46,三和酒造株式会社,久木原　利英,鹿児島県鹿児島市七ツ島１－１－１７,099-284-2180,太陽光,48.9,鹿児島県鹿児島市七ツ島１－１－１７,0,49.2,2012年9月3日,2013年11月,-,-,外部積立て,-,2033年1月
A703381H46,株式会社キット,大江　純一,南さつま市加世田ハーモニー１５－１,0993-78-3939,太陽光,46.3,鹿児島県南さつま市加世田ハーモニー１５－１,0,51.4,2012年9月3日,2013年11月,-,-,外部積立て,-,2032年12月
A703383H46,吉野　寅三,,,,太陽光,41.7,鹿児島県志布志市志布志町安楽５８４２－４,0,46,2012年9月3日,2013年11月,-,-,外部積立て,-,2032年11月
A703403H46,有限会社新門モータース,新門　康徳,薩摩川内市中郷町５５７４－１,0996-22-5713,太陽光,46,鹿児島県薩摩川内市中郷町５５７４－１,0,46,2012年9月4日,2013年11月,-,-,外部積立て,-,2032年12月
A703408H46,鹿児島市,森　博幸,,,太陽光,30,鹿児島県鹿児島市喜入一倉町５８０９－１７の一部,0,30,2012年9月3日,2013年11月,-,-,外部積立て,-,2032年10月
A703671H46,鳥丸　正信,,,,太陽光,21.6,鹿児島県霧島市牧園町高千穂３５９０－８０,0,21.6,2012年9月4日,2013年11月,-,-,外部積立て,-,2032年9月
A704203H46,株式会社細山田商事,細山田　良昭,鹿児島市中央町３５－３１,099-251-7966,太陽光,31,鹿児島県鹿児島市東開町１３－１４,0,32.7,2012年9月10日,2013年11月,-,-,外部積立て,-,2032年11月
A704550H46,株式会社　ＫＴ工房,代表取締役　竹ノ内　久人,鹿屋市笠之原町１３－５０,,太陽光,40.6,鹿児島県鹿屋市笠之原町１５１７-６,0,61.4,2012年9月11日,2013年11月,-,-,外部積立て,-,2032年12月
A704551H46,株式会社　ＫＴ工房,代表取締役　竹ノ内　久人,鹿屋市笠之原町１３－５０,,太陽光,46.1,鹿児島県鹿屋市笠之原町１５１７-６,0,66.2,2012年9月11日,2013年11月,-,-,外部積立て,-,2032年12月
A704568H46,石原　賢一,,,,太陽光,27.2,鹿児島県薩摩川内市宮崎町１４３９－１Ａ棟,2,30,2012年9月11日,2013年11月,-,-,外部積立て,-,2032年12月
A705329H46,株式会社細山田商事,細山田　良昭,鹿児島市中央町３５－３１,099-251-7966,太陽光,46.5,鹿児島県いちき串木野市三井３１２９,0,46.7,2012年9月11日,2013年11月,-,-,外部積立て,-,2032年11月
A705341H46,株式会社トレックス,田上　良徳,姶良市加治木町港町６５,0995-62-2525,太陽光,49.2,鹿児島県曽於市末吉町岩崎谷頭１５２６－１,0,49.2,2012年9月11日,2013年11月,-,-,外部積立て,-,2032年12月
A705373H46,株式会社セブンプラザ,山口　貞利,鹿屋市寿４丁目１５－２１－１,0994-44-1131,太陽光,36.7,鹿児島県志布志市志布志町安楽１２５,0,39.8,2012年9月12日,2013年11月,-,-,外部積立て,-,2033年3月
A705374H46,株式会社セブンプラザ,山口　貞利,鹿屋市寿４丁目１５－２１－１,0994-44-1131,太陽光,22,鹿児島県肝属郡錦江町城元９０２－２,0,22.3,2012年9月12日,2013年11月,-,-,外部積立て,-,2033年3月
A705375H46,株式会社セブンプラザ,山口　貞利,鹿屋市寿４丁目１５－２１－１,0994-44-1131,太陽光,24.7,鹿児島県鹿屋市串良町上小原２９６３－３,0,25.1,2012年9月12日,2013年11月,-,-,外部積立て,-,2033年5月
A705389H46,株式会社セブンプラザ,山口　貞利,鹿屋市寿４丁目１５－２１－１,0994-44-1131,太陽光,48.9,鹿児島県鹿屋市串良町上小原２９６３－３,0,48.9,2012年9月12日,2013年11月,-,-,外部積立て,-,2033年5月
A709155H46,合同会社さつま自然エネルギー,濱田　総一郎,いちき串木野市西薩町１７番地７,0996-33-1510,太陽光,100,鹿児島県いちき串木野市西薩町１７－１４,0,101.6,2012年9月12日,2013年11月,-,-,外部積立て,-,2032年12月
A709156H46,合同会社さつま自然エネルギー,株式会社良知経営　職務執行者　濵田　総一郎,鹿児島県いちき串木野市西薩町１７番地７,0996-33-1510,太陽光,96.9,鹿児島県いちき串木野市西薩町１５－２,0,98.2,2012年9月12日,2013年11月,-,-,外部積立て,-,2032年11月
A709211H46,株式会社中央電機,秋永　賢一,鹿屋市笠之原町３０－２９－２,0994-42-2217,太陽光,20,鹿児島県鹿屋市笠之原町７３３８－９,0,20,2012年9月12日,2013年11月,-,-,外部積立て,-,2032年11月
A709226H46,有限会社サメシマ商事,鮫島　国剛,西之表市西之表１４４１５－５０,0997-22-0902,太陽光,47.8,鹿児島県西之表市住吉馬場隅３４７８,1,49.6,2012年9月14日,2013年11月,-,-,外部積立て,-,2033年2月
A709249H46,国基建設株式会社,下小野田　隆,鹿屋市串良町有里３１３０,099-251-6155,太陽光,47.9,鹿児島県鹿屋市串良町有里３１４０,1,49.4,2012年9月18日,2013年11月,-,-,外部積立て,-,2032年11月
A709268H46,田之上　耕三,,,,太陽光,26.8,鹿児島県霧島市隼人町神宮４－６３－１,1,27.1,2012年9月18日,2013年11月,-,-,外部積立て,-,2032年11月
