設備ID,発電事業者名,代表者名,事業者の住所,事業者の電話番号,発電設備区分,発電出力（kW）,発電設備の所在地,他の筆数,太陽電池の合計出力（kW）,新規認定日,運転開始報告年月,パワーコンディショナーの自立運転機能の有無,給電用コンセントの有無,廃棄費用の積立方法,廃棄費用の積立状況,調達期間終了年月
A678158E25,株式会社高島デリバリー,荒木　深,高島市野田１６７８,0740-36-1007,太陽光,39.4,滋賀県高島市野田１６７８,0,39.4,8月22日2012年,2013年11月,-,-,外部積立て,-,2032年9月
A679533E25,ダイキン工業株式会社,十河　政則,大阪市北区中崎西２－４－１２,077-565-3348,太陽光,30.0,滋賀県草津市岡本町字大谷１０００－２,0,30.0,9月6日2012年,2013年11月,-,-,外部積立て,-,2032年9月
A679534E25,メニックス株式会社,櫻井　健太郎,滋賀県近江八幡市西庄町１８１０,0748-33-2550,太陽光,48.9,滋賀県近江八幡市西庄町１８１０,0,49.9,8月29日2012年,2013年11月,-,-,外部積立て,-,2033年2月
A686745E25,株式会社昭建,中村　智,大津市浜大津２－５－９,077-525-5131,太陽光,1811.8,滋賀県湖南市石部北２－２１０４,9,1811.8,9月11日2012年,2013年11月,-,-,外部積立て,-,2033年1月
A690397E25,長浜葬祭有限会社,西濱　一,長浜市神照町１４７－１,0749-63-3365,太陽光,47.9,滋賀県長浜市小堀町３９６－１,0,47.9,9月13日2012年,2013年11月,-,-,外部積立て,-,2033年1月
A691537E25,株式会社田村製作所,田村　友和,草津市志那町１１２－３,077-568-3190,太陽光,49.1,滋賀県草津市志那町１１２－３,0,52.7,9月18日2012年,2013年11月,-,-,外部積立て,-,2032年9月
A691563E25,湖東興産株式会社,今若　伸男,東近江市上中野町９５６,0749-46-1570,太陽光,37.3,滋賀県東近江市上中野町９７０－１,0,37.3,9月24日2012年,2013年11月,-,-,外部積立て,-,2032年11月
A691567E25,昭建ビル株式会社,中村　智,大津市浜大津２－５－９,077-525-5131,太陽光,22.0,滋賀県大津市三井寺１－３,0,24.5,9月24日2012年,2013年11月,-,-,外部積立て,-,2032年11月
A692981E25,キンキダンボール株式会社,井川　英郎,滋賀県草津市野路９－１３－１,077-563-0123,太陽光,141.0,滋賀県草津市野路９－１３－１,1,175.6,9月21日2012年,2013年11月,-,-,外部積立て,-,2032年11月
A694117E25,株式会社ミヤジマ,宮嶋　誠一郎,犬上郡多賀町多賀１００８,0749-48-0571,太陽光,27.5,滋賀県犬上郡多賀町多賀１００５,0,27.5,9月24日2012年,2013年11月,-,-,外部積立て,-,2032年10月
A695960E25,株式会社ハヤシ,林　秀光,彦根市高宮町１６６６－３,0749-23-1101,太陽光,40.0,滋賀県長浜市加納町４０４－１,0,41.0,9月24日2012年,2013年11月,-,-,外部積立て,-,2032年12月
A695964E25,一圓テクノス株式会社,一圓　宙貴,滋賀県彦根市小泉町７８－１０,0749-22-7974,太陽光,30.0,滋賀県彦根市小泉町７８－２６,0,30.0,9月25日2012年,2013年11月,-,-,外部積立て,-,2032年9月
A695978E25,株式会社橋本不動産,代表取締役　橋本　浩二,彦根市野口町２８３－２,0749-28-2777,太陽光,995.0,滋賀県東近江市五箇荘山本町字夏目６７６－１,4,1080.0,9月26日2012年,2013年11月,-,-,外部積立て,-,2033年1月
A695995E25,西和不動産販売株式会社,福島　正義,栗東市上鈎４５９－７,077-554-0880,太陽光,21.9,滋賀県栗東市安養寺１－３－１０,0,22.6,9月26日2012年,2013年11月,-,-,外部積立て,-,2032年9月
A696000E25,布部　重藏,,,,太陽光,26.7,滋賀県東近江市山路町２２４,0,26.7,9月26日2012年,2013年11月,-,-,外部積立て,-,2032年10月
A697977E25,村山工務店,村山　光,東近江市大萩町６４,,太陽光,23.4,滋賀県東近江市大萩町２５７,0,26.6,10月3日2012年,2013年11月,-,-,外部積立て,-,2033年4月
A697978E25,株式会社湖東工業所,上林　清作,愛知郡愛荘町安孫子２４９,0749-37-2883,太陽光,21.2,滋賀県愛知郡愛荘町安孫子２４９,0,21.3,10月3日2012年,2013年11月,-,-,外部積立て,-,2032年11月
A697985E25,真柄建設株式会社,真柄卓司,金沢市彦三町１－１３－４３,076-231-8001,太陽光,580.0,滋賀県大津市木戸字松本１４７２－１,23,600.0,10月4日2012年,2013年11月,-,-,外部積立て,-,2033年2月
A697990E25,株式会社近藤商事,近藤　静栄,京都市右京区梅津前田町３８,075-882-7575,太陽光,49.0,滋賀県大津市木戸字松本林１４８０－１,0,49.0,10月3日2012年,2013年11月,-,-,外部積立て,-,2033年7月
A697991E25,株式会社近藤農産,近藤　有子,京都市右京区梅津前田町３８,075-882-7575,太陽光,49.0,滋賀県大津市木戸字松本林１４８０,0,49.0,10月3日2012年,2013年11月,-,-,外部積立て,-,2033年7月
A698091E25,金田　慎吾,,,,太陽光,30.0,滋賀県東近江市瓜生津町７０９－３,0,30.8,10月16日2012年,2013年11月,-,-,外部積立て,-,2032年12月
A698092E25,金田　慎吾,,,,太陽光,24.5,滋賀県東近江市瓜生津町７０９－２,0,24.5,10月16日2012年,2013年11月,-,-,外部積立て,-,2032年12月
A698093E25,八日市精工株式会社,岡田　晶,東近江市青野町４５２０,0748-27-8177,太陽光,40.0,滋賀県東近江市沖野４－６－１８,0,41.4,10月16日2012年,2013年11月,-,-,外部積立て,-,2032年12月
A698106E25,堀内製粉,堀内　伸尚,,,太陽光,22.0,滋賀県甲賀市甲南町森尻３４５－１,0,25.0,10月4日2012年,2013年11月,-,-,外部積立て,-,2032年11月
A698133E25,株式会社高岡屋,宇野　彰一,草津市草津３－９－１４,0749-42-2394,太陽光,48.9,滋賀県愛知郡愛荘町長野３６４－１,0,48.9,10月4日2012年,2013年11月,-,-,外部積立て,-,2033年2月
A698137E25,株式会社長岡建設,長岡　範行,東近江市竜田町７０７－２,0748-48-5373,太陽光,42.2,滋賀県東近江市竜田町７０７－２,0,42.2,10月5日2012年,2013年11月,-,-,外部積立て,-,2032年9月
A698166E25,ワケンホールディングス株式会社,熊澤　康介,箕面市船場東１－１２－８,075-711-8118,太陽光,48.0,滋賀県草津市下笠町９４５－１,0,48.0,10月9日2012年,2013年11月,-,-,外部積立て,-,2032年11月
A698186E25,川瀬　仁,,,,太陽光,20.2,滋賀県草津市上笠２－１７－６,0,20.2,10月10日2012年,2013年11月,-,-,外部積立て,-,2032年10月
A698200E25,アガタ電子株式会社,縣　秀治,大津市月輪１－１３－４,077-547-3518,太陽光,38.5,滋賀県大津市月輪１－１３－４,0,38.5,10月9日2012年,2013年11月,-,-,外部積立て,-,2032年12月
A698203E25,秀熊電建工業株式会社,秀熊　順治,甲賀市水口町新城１５３－３,0748-62-3161,太陽光,49.0,滋賀県甲賀市水口町新城１５３－３,0,49.0,10月12日2012年,2013年11月,-,-,外部積立て,-,2033年1月
A698212E25,みのり苑株式会社,二柳　順藏,大津市和邇今宿３８４－３,077-594-1845,太陽光,27.4,滋賀県大津市和邇今宿３８４－３,0,27.4,10月17日2012年,2013年11月,-,-,外部積立て,-,2033年2月
A698222E25,株式会社オクテック,奥坂　芳博,野洲市野洲１７１３,077-587-4960,太陽光,38.5,滋賀県野洲市野洲１７１３,0,38.5,10月9日2012年,2013年11月,-,-,外部積立て,-,2032年11月
A698924E25,セキスイボード株式会社,戸根　光雄,甲賀市水口町泉１２５９,0748-62-0073,太陽光,1000.0,滋賀県甲賀市水口町泉１２５９,0,1000.0,10月23日2012年,2013年11月,-,-,外部積立て,-,2033年5月
A698943E25,野村　宗史,,,,太陽光,38.1,滋賀県甲賀市水口町泉２９７－６,0,38.1,10月15日2012年,2013年11月,-,-,外部積立て,-,2032年12月
A698948E25,株式会社三立運輸,本棒　直樹,米原市柏原６５－１,0749-57-1156,太陽光,48.0,滋賀県米原市柏原６５－１,0,51.3,10月12日2012年,2013年11月,-,-,外部積立て,-,2033年1月
A698949E25,株式会社清弘エンジニアリング,井畑　忠,栗東市伊勢落６３３－７,075-662-0746,太陽光,40.0,滋賀県栗東市伊勢落６３３－７,0,40.0,10月12日2012年,2013年11月,-,-,外部積立て,-,2032年12月
A698959E25,浅小井農園株式会社,松村　務,近江八幡市浅小井町９７２,077-523-3815,太陽光,22.0,滋賀県近江八幡市浅小井町２４８１,0,23.4,10月16日2012年,2013年11月,-,-,外部積立て,-,2032年10月
A698961E25,小島　和代,,,,太陽光,46.8,滋賀県高島市マキノ町知内中勢１５５,3,46.8,10月18日2012年,2013年11月,-,-,外部積立て,-,2033年7月
A698969E25,村地綜合木材株式会社,村地　一洋,蒲生郡竜王町綾戸３２８－３番地,0748-57-0615,太陽光,44.0,滋賀県蒲生郡竜王町綾戸３２８－３,0,49.8,10月18日2012年,2013年11月,-,-,外部積立て,-,2033年5月
A698974E25,蝶耀商事株式会社,白井　幸則,草津市北大萱町５５６－２,077-568-3190,太陽光,49.1,滋賀県守山市荒見町２２９－２,0,49.1,10月15日2012年,2014年2月,-,-,外部積立て,-,2033年12月
A698982E25,株式会社ティー・エス・ケー,乗松　良徳,京都市上京区下長者町通小川西入鷹司町６２,075-431-6141,太陽光,496.9,滋賀県大津市小野字クルゲ２９９－１,0,496.9,10月18日2012年,2013年11月,-,-,外部積立て,-,2033年1月
A698987E25,株式会社安藤製材所,安藤　哲也,彦根市出町７３,0749-28-2225,太陽光,99.2,滋賀県彦根市出町７３,0,101.6,9月11日2012年,2013年11月,-,-,外部積立て,-,2032年10月
A699573E25,株式会社コクヨ工業滋賀,大塚啓三,滋賀県愛知郡愛荘町上蚊野字下川原３１２,0749-37-3611,太陽光,200.0,滋賀県愛知郡愛荘町上蚊野３１２,0,200.0,10月15日2012年,2013年11月,-,-,外部積立て,-,2033年1月
A699589E25,新協化成工業株式会社,宮田　豊治,湖南市朝国５０４,0748-72-0228,太陽光,47.7,滋賀県湖南市朝国３１６－１,0,48.2,10月15日2012年,2013年11月,-,-,外部積立て,-,2032年11月
A699594E25,小島　亨,,,,太陽光,46.8,滋賀県高島市マキノ町知内字中勢１３９,3,46.8,10月18日2012年,2013年11月,-,-,外部積立て,-,2033年7月
A699604E25,滋賀建機株式会社,代表取締役　蔭山　明夫,愛知郡愛荘町中宿１６０－１,0749-42-8668,太陽光,990.0,滋賀県東近江市建部下野町１６,0,1168.1,10月17日2012年,2013年11月,-,-,外部積立て,-,2033年2月
A699619E25,株式会社イーテック・ソリューションズ,山北　善和,東近江市上大森町８２７,0748-23-8667,太陽光,36.8,滋賀県東近江市上大森町８２７,0,36.8,10月19日2012年,2013年11月,-,-,外部積立て,-,2033年4月
A699632E25,株式会社　昇羽,宮口　正利,滋賀県草津市木川町４３０番地,,太陽光,27.3,滋賀県草津市北大萱町５４３－１,0,27.3,10月15日2012年,2013年11月,-,-,外部積立て,-,2032年11月
A699640E25,一般社団法人コナン市民共同発電所プロジェクト,溝口　弘,滋賀県湖南市石部東１－９－２６,0748-76-3792,太陽光,20.8,滋賀県湖南市西峰町１－１,0,20.8,10月17日2012年,2013年11月,-,-,外部積立て,-,2033年1月
A700009E25,株式会社小崎工業,小崎　高重,長浜市三田町１４２３－３,0749-74-8000,太陽光,100.0,滋賀県長浜市三田町１４２３－３,0,100.0,10月15日2012年,2013年11月,-,-,外部積立て,-,2033年1月
A700689E25,三協自動車株式会社,下中　喜明,甲賀市甲南町野尻６４５－１,0748-86-7859,太陽光,47.5,滋賀県甲賀市甲南町野尻６４５－１,0,47.5,10月16日2012年,2013年11月,-,-,外部積立て,-,2032年12月
A700717E25,甲陸湖南有限会社,甲斐切　稔,湖南市小砂町４番３,0748-72-2840,太陽光,990.0,滋賀県湖南市小砂町４－３,0,1002.0,10月17日2012年,2013年11月,-,-,外部積立て,-,2033年1月
A701258E25,株式会社アルサスエンジニアリング,澤田　友司,甲賀市甲南町葛木６２,0748-86-0020,太陽光,49.1,滋賀県甲賀市甲南町葛木６２,0,50.1,10月17日2012年,2013年11月,-,-,外部積立て,-,2033年3月
A701688E25,和気産業株式会社,宮地　龍,東大阪市南上小阪１０－３２,06-6723-5551,太陽光,100.0,滋賀県蒲生郡日野町第二工業団地３－２,0,100.0,10月19日2012年,2013年11月,-,-,外部積立て,-,2033年2月
A701718E25,大津板紙株式会社,熊本　吉喜,滋賀県大津市馬場１－１５－１５,,太陽光,250.0,滋賀県大津市国分２－２５５－３,0,250.0,10月19日2012年,2013年11月,-,-,外部積立て,-,2033年2月
A701763E25,株式会社堀内,堀内　金造,芦屋市山手町６－２５,06-6451-4091,太陽光,100.0,滋賀県湖南市柑子袋２２８,0,100.8,10月18日2012年,2013年11月,-,-,外部積立て,-,2033年2月
A701781E25,株式会社種新,代表取締役　谷口　一博,湖南市下田６３８－７２,0748-65-2533,太陽光,100.0,滋賀県甲賀市水口町八田９２７－３,0,110.0,10月19日2012年,2013年11月,-,-,外部積立て,-,2033年2月
A702462E25,彦根倉庫株式会社,西村　隆,犬上郡多賀町敏満寺７２７番地－１,0749-48-8080,太陽光,750.0,滋賀県犬上郡多賀町敏満寺７２７－１,0,750.0,10月23日2012年,2013年11月,-,-,外部積立て,-,2033年1月
A702488E25,株式会社横江ファーム,横江　傳造,草津市北山田町２２５４－４,077-568-8250,太陽光,22.2,滋賀県草津市北山田町２２５４－４,0,23.4,10月30日2012年,2013年11月,-,-,外部積立て,-,2032年11月
A702490E25,株式会社シンケン工業,中本　景幸,大津市野郷原２－１－２,077-545-5362,太陽光,23.1,滋賀県彦根市平田町７４４－１１,0,23.2,10月26日2012年,2013年11月,-,-,外部積立て,-,2032年12月
A702494E25,株式会社タニケン,谷口　秀治,彦根市小泉町１０６－１２,0749-27-3808,太陽光,272.5,滋賀県犬上郡甲良町尼子２４３７,0,272.5,11月5日2012年,2013年11月,-,-,外部積立て,-,2033年2月
A702512E25,大橋　重範,,,,太陽光,49.9,滋賀県長浜市下之郷町７２２－１,2,62.1,10月23日2012年,2013年11月,-,-,外部積立て,-,2033年4月
A702518E25,株式会社オートクラフト,安岡　清,甲賀市水口町酒人７５２,0748-62-1092,太陽光,42.3,滋賀県甲賀市水口町酒人７５２,0,48.5,10月24日2012年,2013年11月,-,-,外部積立て,-,2033年2月
A702519E25,株式会社オートクラフト,安岡　清,甲賀市水口町酒人７５２,0748-62-1092,太陽光,46.4,滋賀県甲賀市水口町酒人１０２０－１,0,50.1,10月24日2012年,2013年11月,-,-,外部積立て,-,2033年2月
A702524E25,大黒　智行,,,,太陽光,22.0,滋賀県彦根市正法寺町５６２,0,22.4,10月24日2012年,2013年11月,-,-,外部積立て,-,2032年11月
A702534E25,塚本　隆一,,,,太陽光,27.1,滋賀県東近江市八日市金屋３－３４７,0,27.1,10月31日2012年,2013年11月,-,-,外部積立て,-,2033年2月
A702556E25,株式会社木屋長工務店,和田　孝浩,東近江市栄町７－１,0748-23-0667,太陽光,20.4,滋賀県東近江市西中野町９－２９,0,20.4,10月24日2012年,2013年11月,-,-,外部積立て,-,2033年2月
A702565E25,吉田電工株式会社,吉田　正和,滋賀県甲賀市甲南町野尻６５５,0748-86-2224,太陽光,49.0,滋賀県甲賀市甲南町野尻６５５,0,49.4,10月25日2012年,2013年11月,-,-,外部積立て,-,2033年2月
A702566E25,近江工芸有限会社,辻　勝之,甲賀市水口町宇川８７９－２,0748-62-8224,太陽光,96.7,滋賀県甲賀市水口町宇川８７９－２,0,96.7,10月25日2012年,2013年11月,-,-,外部積立て,-,2033年4月
A702567E25,株式会社ミヤジマ,宮嶋　誠一郎,犬上郡多賀町多賀１００８,0749-48-0571,太陽光,47.0,滋賀県犬上郡多賀町多賀１００８,0,48.0,10月26日2012年,2013年11月,-,-,外部積立て,-,2033年5月
A702569E25,虎姫三和住設,大久保　実,,,太陽光,20.0,滋賀県長浜市虎姫町月ヶ瀬２４４,0,20.0,10月26日2012年,2013年11月,-,-,外部積立て,-,2033年2月
A702587E25,株式会社ツジトミ,辻󠄀　髙幸,東近江市猪子町８５,0748-42-2121,太陽光,204.1,滋賀県東近江市猪子町２２７－１,0,204.1,10月25日2012年,2013年11月,-,-,外部積立て,-,2033年3月
A702589E25,株式会社ウミノ製作所,中村　均,栗東市辻４７０－１,077-551-1881,太陽光,99.9,滋賀県栗東市辻４７０－１,0,99.9,10月24日2012年,2013年11月,-,-,外部積立て,-,2033年3月
A703139E25,東洋化学株式会社,岡　幸一,蒲生郡日野町寺尻１００８,0748-52-5000,太陽光,29.5,滋賀県蒲生郡日野町寺尻１００８,0,29.5,10月30日2012年,2013年11月,-,-,外部積立て,-,2033年4月
A703145E25,有限会社村田運輸サービス,村田　弘之,守山市水保町１４３７－２６,077-584-2034,太陽光,49.0,滋賀県守山市水保町２４８８－１,0,49.0,10月25日2012年,2013年11月,-,-,外部積立て,-,2032年11月
A703155E25,有限会社キタセイ,北川　浩,彦根市堀町１１７－２６,0749-28-1400,太陽光,200.0,滋賀県彦根市宇尾町字中嶋５０９－１,11,233.8,10月29日2012年,2013年11月,-,-,外部積立て,-,2033年5月
A703156E25,ケイシン株式会社,久保田　弘信,滋賀県犬上郡多賀町大字多賀１５５９－３４,,太陽光,250.0,滋賀県犬上郡多賀町大字富之尾１２２－１,0,250.0,10月29日2012年,2013年11月,-,-,外部積立て,-,2033年2月
A703157E25,株式会社ダイシン,丸山　正明,彦根市三津町３７１－５,0749-48-2595,太陽光,130.0,滋賀県彦根市三津町３７１－５,0,133.3,10月29日2012年,2013年11月,-,-,外部積立て,-,2033年3月
A703158E25,有限会社タカハシ,高橋　伊佐男,彦根市日夏町１７００－１２,,太陽光,130.0,滋賀県犬上郡甲良町法養寺３４８－２,0,130.0,10月30日2012年,2013年11月,-,-,外部積立て,-,2033年4月
A703160E25,株式会社服部モータース,村田　正利,大津市富士見台１－１０,077-537-1950,太陽光,45.8,滋賀県東近江市五個荘竜田町４６－３,0,45.8,10月29日2012年,2013年11月,-,-,外部積立て,-,2032年12月
